group,period_end,value
South Carolina,10/12/20,32.9
South Dakota,10/12/20,31.3
Tennessee,10/12/20,36.2
Texas,10/12/20,38.8
Utah,10/12/20,36.1
Vermont,10/12/20,44
Virginia,10/12/20,32.9
Washington,10/12/20,38.5
West Virginia,10/12/20,42.8
Wisconsin,10/12/20,34.5
Wyoming,10/12/20,33.1
Alabama,10/26/20,36
Alaska,10/26/20,38.5
Arizona,10/26/20,39.8
Arkansas,10/26/20,38.5
California,10/26/20,39.9
Colorado,10/26/20,37.7
Connecticut,10/26/20,36.9
Delaware,10/26/20,34.3
District of Columbia,10/26/20,40.1
Florida,10/26/20,35.7
Georgia,10/26/20,37.8
Hawaii,10/26/20,38.8
Idaho,10/26/20,35.9
Illinois,10/26/20,34.8
Indiana,10/26/20,38.8
Iowa,10/26/20,33.4
Kansas,10/26/20,39.6
Kentucky,10/26/20,41.9
Louisiana,10/26/20,41.2
Maine,10/26/20,35.9
Maryland,10/26/20,37.1
Massachusetts,10/26/20,37.8
Michigan,10/26/20,37
Minnesota,10/26/20,30.6
Mississippi,10/26/20,41.5
Missouri,10/26/20,40.8
Montana,10/26/20,34.8
Nebraska,10/26/20,33.3
Nevada,10/26/20,41.9
New Hampshire,10/26/20,31
New Jersey,10/26/20,35.7
New Mexico,10/26/20,46.3
New York,10/26/20,38.9
North Carolina,10/26/20,32.4
North Dakota,10/26/20,30.9
Ohio,10/26/20,37.2
Oklahoma,10/26/20,39.3
Oregon,10/26/20,41.4
Pennsylvania,10/26/20,35.4
Rhode Island,10/26/20,39.1
South Carolina,10/26/20,36.5
South Dakota,10/26/20,28.7
Tennessee,10/26/20,37.8
Texas,10/26/20,41.4
Utah,10/26/20,33.1
Vermont,10/26/20,36.1
Virginia,10/26/20,35.6
Washington,10/26/20,41.7
West Virginia,10/26/20,36
Wisconsin,10/26/20,36
Wyoming,10/26/20,32
Alabama,11/9/20,44.8
Alaska,11/9/20,38.2
Arizona,11/9/20,40.3
Arkansas,11/9/20,41.6
California,11/9/20,43.7
Colorado,11/9/20,43.3
Connecticut,11/9/20,41.8
Delaware,11/9/20,41.5
District of Columbia,11/9/20,50.1
Florida,11/9/20,43.6
Georgia,11/9/20,46.4
Hawaii,11/9/20,43.4
Idaho,11/9/20,42.2
Illinois,11/9/20,41.8
Indiana,11/9/20,40.9
Iowa,11/9/20,44.3
Kansas,11/9/20,43.6
Kentucky,11/9/20,40.8
Louisiana,11/9/20,42.3
Maine,11/9/20,43.8
Maryland,11/9/20,39.7
Massachusetts,11/9/20,42.8
Michigan,11/9/20,34.8
Minnesota,11/9/20,37.1
Mississippi,11/9/20,42.7
Missouri,11/9/20,40.3
Montana,11/9/20,39.4
Nebraska,11/9/20,38.1
Nevada,11/9/20,47.3
New Hampshire,11/9/20,39.2
New Jersey,11/9/20,36.9
New Mexico,11/9/20,44.2
New York,11/9/20,36.5
North Carolina,11/9/20,42.3
North Dakota,11/9/20,25.5
Ohio,11/9/20,42
Oklahoma,11/9/20,43.3
Oregon,11/9/20,44.1
Pennsylvania,11/9/20,41.3
Rhode Island,11/9/20,42.3
South Carolina,11/9/20,41.4
South Dakota,11/9/20,32.3
Tennessee,11/9/20,36.7
Texas,11/9/20,44.4
Utah,11/9/20,36.4
Vermont,11/9/20,43.8
Virginia,11/9/20,36.7
Washington,11/9/20,38.8
West Virginia,11/9/20,39.3
