group,period_end,value
Florida,9/14/20,25.3
Georgia,9/14/20,23.2
Hawaii,9/14/20,29.4
Idaho,9/14/20,21.8
Illinois,9/14/20,24.2
Indiana,9/14/20,20.7
Iowa,9/14/20,22.8
Kansas,9/14/20,19.3
Kentucky,9/14/20,30.1
Louisiana,9/14/20,30.3
Maine,9/14/20,20.4
Maryland,9/14/20,23.3
Massachusetts,9/14/20,20.5
Michigan,9/14/20,23.4
Minnesota,9/14/20,18.6
Mississippi,9/14/20,28.4
Missouri,9/14/20,21.8
Montana,9/14/20,22.2
Nebraska,9/14/20,21.7
Nevada,9/14/20,27.1
New Hampshire,9/14/20,22.1
New Jersey,9/14/20,21.9
New Mexico,9/14/20,27.5
New York,9/14/20,25.1
North Carolina,9/14/20,20.9
North Dakota,9/14/20,17.4
Ohio,9/14/20,25.4
Oklahoma,9/14/20,26.5
Oregon,9/14/20,26.7
Pennsylvania,9/14/20,22.9
Rhode Island,9/14/20,25.3
South Carolina,9/14/20,22.9
South Dakota,9/14/20,20.2
Tennessee,9/14/20,24
Texas,9/14/20,26.9
Utah,9/14/20,22
Vermont,9/14/20,19.6
Virginia,9/14/20,22.4
Washington,9/14/20,22.7
West Virginia,9/14/20,26.9
Wisconsin,9/14/20,19.3
Wyoming,9/14/20,23.6
Alabama,9/28/20,28.6
Alaska,9/28/20,25.2
Arizona,9/28/20,28.2
Arkansas,9/28/20,23.1
California,9/28/20,28.7
Colorado,9/28/20,25.2
Connecticut,9/28/20,19
Delaware,9/28/20,18.3
District of Columbia,9/28/20,27.5
Florida,9/28/20,25.4
Georgia,9/28/20,25
Hawaii,9/28/20,24
Idaho,9/28/20,22.8
Illinois,9/28/20,23.9
Indiana,9/28/20,24.5
Iowa,9/28/20,25.5
Kansas,9/28/20,22.9
Kentucky,9/28/20,30.7
Louisiana,9/28/20,29.6
Maine,9/28/20,17.5
Maryland,9/28/20,20.3
Massachusetts,9/28/20,23.2
Michigan,9/28/20,21
Minnesota,9/28/20,17.4
Mississippi,9/28/20,28.5
Missouri,9/28/20,22.7
Montana,9/28/20,24.4
Nebraska,9/28/20,19.2
Nevada,9/28/20,31.3
New Hampshire,9/28/20,19
New Jersey,9/28/20,23.7
New Mexico,9/28/20,29.1
New York,9/28/20,23.5
North Carolina,9/28/20,21.5
North Dakota,9/28/20,19
Ohio,9/28/20,24.7
Oklahoma,9/28/20,23.1
Oregon,9/28/20,31.8
Pennsylvania,9/28/20,24.1
Rhode Island,9/28/20,23.4
South Carolina,9/28/20,20.6
South Dakota,9/28/20,17
Tennessee,9/28/20,25.9
Texas,9/28/20,28
Utah,9/28/20,26.8
Vermont,9/28/20,22.9
Virginia,9/28/20,24.6
Washington,9/28/20,25.7
West Virginia,9/28/20,28
Wisconsin,9/28/20,19.4
Wyoming,9/28/20,22.4
Alabama,10/12/20,25
Alaska,10/12/20,27.1
Arizona,10/12/20,25
Arkansas,10/12/20,30.2
California,10/12/20,29.4
Colorado,10/12/20,23.8
Connecticut,10/12/20,22.9
Delaware,10/12/20,24.6
District of Columbia,10/12/20,19.9
Florida,10/12/20,26
Georgia,10/12/20,23.9
Hawaii,10/12/20,30.1
Idaho,10/12/20,21
Illinois,10/12/20,24.1
Indiana,10/12/20,23.1
Iowa,10/12/20,19.6
Kansas,10/12/20,22.7
Kentucky,10/12/20,31.5
Louisiana,10/12/20,28.4
Maine,10/12/20,24.4
Maryland,10/12/20,24.4
Massachusetts,10/12/20,22.5
Michigan,10/12/20,25.6
Minnesota,10/12/20,19.9
Mississippi,10/12/20,25.1
Missouri,10/12/20,25.5
Montana,10/12/20,19.9
Nebraska,10/12/20,20.9
Nevada,10/12/20,29.2
New Hampshire,10/12/20,19.8
New Jersey,10/12/20,22.5
New Mexico,10/12/20,26.1
New York,10/12/20,23.3
North Carolina,10/12/20,25.7
North Dakota,10/12/20,16.6
Ohio,10/12/20,25.5
Oklahoma,10/12/20,27.2
Oregon,10/12/20,24.9
Pennsylvania,10/12/20,25.1
Rhode Island,10/12/20,22.4
South Carolina,10/12/20,20.3
South Dakota,10/12/20,19
Tennessee,10/12/20,24.5
Texas,10/12/20,29
Utah,10/12/20,23.5
Vermont,10/12/20,30.1
Virginia,10/12/20,23.1
Washington,10/12/20,25.2
West Virginia,10/12/20,27.5
Wisconsin,10/12/20,21.6
Wyoming,10/12/20,22.2
Alabama,10/26/20,27.7
Alaska,10/26/20,25.7
Arizona,10/26/20,30.8
Arkansas,10/26/20,27.3
California,10/26/20,27.7
Colorado,10/26/20,26.1
Connecticut,10/26/20,21.8
Delaware,10/26/20,23.3
District of Columbia,10/26/20,26.2
Florida,10/26/20,25.9
Georgia,10/26/20,25.1
Hawaii,10/26/20,27.5
Idaho,10/26/20,25.9
Illinois,10/26/20,24.2
Indiana,10/26/20,27.2
Iowa,10/26/20,22.4
Kansas,10/26/20,26.2
Kentucky,10/26/20,29.5
Louisiana,10/26/20,31.6
Maine,10/26/20,22.8
Maryland,10/26/20,23.8
Massachusetts,10/26/20,25.3
Michigan,10/26/20,25.8
Minnesota,10/26/20,19.3
Mississippi,10/26/20,33.4
Missouri,10/26/20,29.4
Montana,10/26/20,20.1
Nebraska,10/26/20,21.8
Nevada,10/26/20,31
New Hampshire,10/26/20,20.8
New Jersey,10/26/20,23.4
New Mexico,10/26/20,31.9
New York,10/26/20,27
North Carolina,10/26/20,21.4
North Dakota,10/26/20,20.2
Ohio,10/26/20,25
Oklahoma,10/26/20,25.9
Oregon,10/26/20,26.9
Pennsylvania,10/26/20,22.2
Rhode Island,10/26/20,24
South Carolina,10/26/20,25.1
South Dakota,10/26/20,19.7
Tennessee,10/26/20,23.9
Texas,10/26/20,29.4
Utah,10/26/20,22.4
Vermont,10/26/20,21.5
Virginia,10/26/20,23.8
Washington,10/26/20,28.4
West Virginia,10/26/20,25.2
Wisconsin,10/26/20,22.7
Wyoming,10/26/20,20.8
Alabama,11/9/20,33.8
Alaska,11/9/20,27.1
Arizona,11/9/20,27.2
Arkansas,11/9/20,28.3
California,11/9/20,29.7
Colorado,11/9/20,29.2
Connecticut,11/9/20,26.6
Delaware,11/9/20,28
District of Columbia,11/9/20,31.1
Florida,11/9/20,30.1
Georgia,11/9/20,30.9
Hawaii,11/9/20,30.1
Idaho,11/9/20,28.1
Illinois,11/9/20,28.5
Indiana,11/9/20,29.4
Iowa,11/9/20,29.4
Kansas,11/9/20,30.9
Kentucky,11/9/20,27.1
Louisiana,11/9/20,30.3
Maine,11/9/20,27.8
Maryland,11/9/20,24.7
Massachusetts,11/9/20,28.2
Michigan,11/9/20,22.2
Minnesota,11/9/20,23.8
Mississippi,11/9/20,28.8
Missouri,11/9/20,27.5
Montana,11/9/20,22.9
Nebraska,11/9/20,23.8
Nevada,11/9/20,34
New Hampshire,11/9/20,21.5
New Jersey,11/9/20,23.2
New Mexico,11/9/20,32.6
New York,11/9/20,22
North Carolina,11/9/20,27.6
North Dakota,11/9/20,17
Ohio,11/9/20,26.7
Oklahoma,11/9/20,27.1
Oregon,11/9/20,29
Pennsylvania,11/9/20,27.8
Rhode Island,11/9/20,25.6
South Carolina,11/9/20,28.2
South Dakota,11/9/20,20
Tennessee,11/9/20,25
Texas,11/9/20,31.2
Utah,11/9/20,24.3
Vermont,11/9/20,30
Virginia,11/9/20,24
Washington,11/9/20,24.4
