group,period_end,value
Kentucky,5/24/21,9.2
Louisiana,5/24/21,7.9
Maine,5/24/21,12
Maryland,5/24/21,12.6
Massachusetts,5/24/21,14.3
Michigan,5/24/21,9.7
Minnesota,5/24/21,9.7
Mississippi,5/24/21,9.8
Missouri,5/24/21,8.1
Montana,5/24/21,8.5
Nebraska,5/24/21,11.6
Nevada,5/24/21,7.8
New Hampshire,5/24/21,10.7
New Jersey,5/24/21,9.9
New Mexico,5/24/21,10.9
New York,5/24/21,11.6
North Carolina,5/24/21,11.1
North Dakota,5/24/21,5.2
Ohio,5/24/21,7.7
Oklahoma,5/24/21,8.5
Oregon,5/24/21,15.3
Pennsylvania,5/24/21,13
Rhode Island,5/24/21,15.2
South Carolina,5/24/21,6.4
South Dakota,5/24/21,8.1
Tennessee,5/24/21,9.8
Texas,5/24/21,7.1
Utah,5/24/21,10.3
Vermont,5/24/21,13.9
Virginia,5/24/21,11
Washington,5/24/21,10.1
West Virginia,5/24/21,5.6
Wisconsin,5/24/21,13
