group,period_end,value
Arkansas,5/10/21,13.9
California,5/10/21,9.5
Colorado,5/10/21,15.2
Connecticut,5/10/21,6.7
Delaware,5/10/21,4.6
District of Columbia,5/10/21,14.5
Florida,5/10/21,11.4
Georgia,5/10/21,12.1
Hawaii,5/10/21,6.1
Idaho,5/10/21,8.8
Illinois,5/10/21,8.8
Indiana,5/10/21,9.6
Iowa,5/10/21,6.5
Kansas,5/10/21,11.5
Kentucky,5/10/21,9.8
Louisiana,5/10/21,11.4
Maine,5/10/21,7.1
Maryland,5/10/21,9.8
Massachusetts,5/10/21,8.6
Michigan,5/10/21,10.6
Minnesota,5/10/21,7.5
Mississippi,5/10/21,6.2
Missouri,5/10/21,13.2
Montana,5/10/21,9.6
Nebraska,5/10/21,10.2
Nevada,5/10/21,6.9
New Hampshire,5/10/21,9.7
New Jersey,5/10/21,6
New Mexico,5/10/21,12.3
New York,5/10/21,7.9
North Carolina,5/10/21,7.3
North Dakota,5/10/21,9.2
Ohio,5/10/21,8.4
Oklahoma,5/10/21,12.4
Oregon,5/10/21,10.8
Pennsylvania,5/10/21,9
Rhode Island,5/10/21,8.5
South Carolina,5/10/21,9.4
South Dakota,5/10/21,6.3
Tennessee,5/10/21,11
Texas,5/10/21,9.6
Utah,5/10/21,12.1
Vermont,5/10/21,14.7
Virginia,5/10/21,11.6
Washington,5/10/21,12.7
West Virginia,5/10/21,7.7
Wisconsin,5/10/21,8.2
Wyoming,5/10/21,10.3
Alabama,5/24/21,9.8
Alaska,5/24/21,9.5
Arizona,5/24/21,11
Arkansas,5/24/21,7.9
California,5/24/21,12.4
Colorado,5/24/21,10.6
Connecticut,5/24/21,9.4
Delaware,5/24/21,7.5
District of Columbia,5/24/21,10.2
Florida,5/24/21,8.6
Georgia,5/24/21,9.2
Hawaii,5/24/21,3.3
Idaho,5/24/21,10.4
Illinois,5/24/21,8.7
Indiana,5/24/21,9.2
Iowa,5/24/21,8.1
Kansas,5/24/21,10.4
Kentucky,5/24/21,10.1
Louisiana,5/24/21,9.5
Maine,5/24/21,9.3
Maryland,5/24/21,8.8
Massachusetts,5/24/21,8.9
Michigan,5/24/21,8.7
Minnesota,5/24/21,10.8
Mississippi,5/24/21,9.9
Missouri,5/24/21,8.7
Montana,5/24/21,7.5
Nebraska,5/24/21,8.8
Nevada,5/24/21,8.4
New Hampshire,5/24/21,8.5
New Jersey,5/24/21,7.5
New Mexico,5/24/21,10.8
New York,5/24/21,9.8
North Carolina,5/24/21,8.6
North Dakota,5/24/21,5.8
Ohio,5/24/21,11.4
Oklahoma,5/24/21,11.7
Oregon,5/24/21,13.7
Pennsylvania,5/24/21,10.4
Rhode Island,5/24/21,7.6
South Carolina,5/24/21,7.9
South Dakota,5/24/21,5.4
Tennessee,5/24/21,11.2
Texas,5/24/21,12.4
Utah,5/24/21,11.4
Vermont,5/24/21,10
Virginia,5/24/21,10.4
Washington,5/24/21,10.3
West Virginia,5/24/21,8.7
Wisconsin,5/24/21,8.7
